date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:58	217475/217475	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Apr%202022%2004:13:06%20GMT	https://blockstudio.tw/2018block/main/wp-content/uploads/2022/04/%e8%81%af%e9%a6%a5%e9%a3%9f%e5%93%81_display_cover.jpg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/uploads/2022/04/%e8%81%af%e9%a6%a5%e9%a3%9f%e5%93%81_display_cover.jpg	(from https://blockstudio.tw/)
00:23:58	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Mon,%2020%20Mar%202023%2016:23:59%20GMT	https://blockstudio.tw/2018block/main/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-admin/admin-ajax.php	(from https://blockstudio.tw/)
00:23:59	63273/63273	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:24:00%20GMT	https://blockstudio.tw/career/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/career/index.html	(from https://blockstudio.tw/)
00:23:59	263569/263569	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Mar%202019%2003:40:33%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/libs.js	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/libs.js	(from https://blockstudio.tw/)
00:23:59	62615/62615	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:24:00%20GMT	https://blockstudio.tw/project/kbk-web/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/project/kbk-web/index.html	(from https://blockstudio.tw/)
00:23:59	57818/57818	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:24:00%20GMT	https://blockstudio.tw/about/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/about/index.html	(from https://blockstudio.tw/)
00:23:59	3580/3580	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Mar%202019%2003:40:33%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/index.js	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/index.js	(from https://blockstudio.tw/)
00:24:00	40387/40387	---M--	200	added ('OK')	application/javascript	date:Sun,%2017%20Apr%202022%2010:30:00%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/main.js	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/main.js	(from https://blockstudio.tw/)
00:24:00	517732/517732	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20Mar%202019%2003:40:33%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/index-libs.js	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/js/index-libs.js	(from https://blockstudio.tw/)
00:24:00	60154/60154	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:24:01%20GMT	https://blockstudio.tw/project/rainforest-web/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/project/rainforest-web/index.html	(from https://blockstudio.tw/)
00:24:00	61704/61704	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:24:01%20GMT	https://blockstudio.tw/project/tdri-intro/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/project/tdri-intro/index.html	(from https://blockstudio.tw/)
00:24:00	65250/65250	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:24:01%20GMT	https://blockstudio.tw/project/gourmets-partner/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/project/gourmets-partner/index.html	(from https://blockstudio.tw/)
00:24:00	12300/12300	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2030%20Jun%202019%2019:40:58%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello.eot?6082003	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello5454.eot	(from https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/main.min.css)
00:24:01	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2020%20Mar%202023%2016:24:02%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/index.html	(from https://blockstudio.tw/)
00:24:01	6412/6412	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2030%20Jun%202019%2019:40:58%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello.woff2?6082003	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello5454.woff2	(from https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/main.min.css)
00:24:01	7524/7524	---M--	200	added ('OK')	x-font/woff	date:Sun,%2030%20Jun%202019%2019:40:58%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello.woff?6082003	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello5454.woff	(from https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/main.min.css)
00:24:01	12132/12132	---M--	200	added ('OK')	x-font/ttf	date:Sun,%2030%20Jun%202019%2019:40:58%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello.ttf?6082003	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/font/fontello5454.ttf	(from https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/main.min.css)
